"Brand","Model","Status","SourceTitle","SourceUrl","LocalImage"
"BMW","X5","found_remote","BMW X5 SUV side view","https://www.carsized.com/resources/bmw/x5/d/2013/sm_291116149_bmw-x5-2013-side-view_4x.png",""
"BYD","ATTO3","found_remote","BYD Atto 3 car side view","https://www.byd.com/content/dam/byd-site/en-ae/product/atto3/6(1).jpg",""
"BYD","SEAL","found_remote","BYD SEAL car side view","https://www.byd.com/content/dam/byd-site/eu/product/seal/pc/section03.jpg",""
"CHRYSLER_DODGE_JEEP","CRUISER06","found_remote","Chrysler PT Cruiser car side view","https://www.autodata1.com/media/chrysler/pics/chrysler-pt-cruiser-[1375].jpg",""
"CHRYSLER_DODGE_JEEP","PACIFICA","found_remote","Chrysler PACIFICA car side view","https://www.leie-autos.be/media/interieur/pics/36/08-chrysler_pacifica.jpg",""
"CHRYSLER_DODGE_JEEP","RENEGADE","found_remote","Jeep RENEGADE car side view","https://mobiwisy.fr/wp-content/uploads/JeepRenegadeMY24.jpg",""
"CITROEN","C3","found_remote","CITROEN C 3 car side view","https://imgd.aeplcdn.com/1056x594/n/cw/ec/138657/citroen-c3-right-side-view17.jpeg?isig=0&wm=1&q=75",""
"FIAT","BRAVO","found_remote","Fiat BRAVO car side view","https://www.wandaloo.com/files/2011/01/FIAT-Bravo-2011-15.jpg",""
"FIAT","C1","not_found","","",""
"FIAT","C3","not_found","","",""
"FIAT","C9","not_found","","",""
"FIAT","TIPO","found_remote","FIAT TIPO car side view","https://www.parkinglac.com/wp-content/uploads/2024/03/430609321_381404784641411_7227729287721869057_n.jpg",""
"FIAT","TYPE","found_remote","Fiat Tipo car side view","https://www.parkinglac.com/wp-content/uploads/2024/03/430609321_381404784641411_7227729287721869057_n.jpg",""
"FORD","BRONCO","found_remote","Ford BRONCO car side view","https://www.fr.ford.be/content/dam/guxeu/rhd/central/cars/2022-bronco-suv/pre-launch/gallery/exterior/Ford-bronco-eu-DSC02856-16x9-2160x1215.jpg.renditions.original.png",""
"FORD","ESCAPE","found_remote","Ford ESCAPE car side view","https://s.car.info/image_files/1920/ford-escape-front-side-north-american-international-auto-show-2018-3-469448.jpg",""
"FORD","MONDEO","found_remote","Ford Mondeo side view","https://www.carsized.com/resources/ford/mondeo/sw/2000/sl_255129164_ford-mondeo-2000-side-view_4x.png",""
"GM_CHEVY_GMC_CADILLAC","ACADIA","found_remote","GMC ACADIA car side view","http://1.bp.blogspot.com/-VLaw_xLYCqs/Tx262eUh62I/AAAAAAAANR4/l0ZR1BQFseE/s1600/2013+GMC+acadia+side.jpg",""
"GM_CHEVY_GMC_CADILLAC","ENCORE","found_remote","Buick ENCORE car side view","https://d2ivfcfbdvj3sm.cloudfront.net/7fc965ab77efe6e0fa62e4ca1ea7673bb25b4453081e3d8e88cb/stills_0640_png/MY2017/11523/11523_st0640_051.png",""
"GM_CHEVY_GMC_CADILLAC","ENVISTA","found_remote","Buick ENVISTA car side view","https://www.buick.ca/content/dam/buick/na/ca/en/index/crossovers-suv/2025-envista-overview/2025-envista-avenir-ocean-blue-metallic-2000x1000.png?imwidth=1200",""
"GM_CHEVY_GMC_CADILLAC","LACROSS","found_remote","Buick LaCrosse car side view","https://www.carsized.com/resources/buick/lacrosse/d/2017/sl_245123163_buick-lacrosse-2017-side-view_3x.png",""
"GM_CHEVY_GMC_CADILLAC","MALIBU","found_remote","Chevrolet MALIBU car side view","https://static1.topspeedimages.com/wordpress/wp-content/uploads/2023/09/2023-chevrolet-malibu-ls.jpg",""
"GM_CHEVY_GMC_CADILLAC","TERRAIN","found_remote","GMC TERRAIN car side view","https://www.carsized.com/resources/gmc/terrain/d/2016/fa_289000000_gmc-terrain-2016-front-view_3x.png",""
"GM_CHEVY_GMC_CADILLAC","TRAIL_BLAZER","found_remote","Chevrolet Trailblazer car side view","https://d2ivfcfbdvj3sm.cloudfront.net/7fc965ab77efe6e0fa62e4ca1ea7673bb65b41530b1e3d8e88cb10/stills_0640_png/MY2023/51020/51020_st0640_115.png",""
"GM_CHEVY_GMC_CADILLAC","XT5","found_remote","Cadillac XT 5 car side view","https://i0.wp.com/www.photoscar.fr/wp-content/uploads/2019/07/Cadillac-XT5-2020-07.jpg?ssl=1",""
